"Source:","/home/strav/devel/diy-synth/noise/noise/noise.kicad_sch"
"Date:","Sun 21 Aug 2022 01:23:40 PM EDT"
"Tool:","Eeschema 6.0.7-f9a2dced07~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","Manufacturer","Manufacturer Part No.","Supplier","Supplier Part No."
"","","C1","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","Electrolytic","AISHI","WK1CM100D11OT","Tayda","A-3931"
"","","C2","10uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","Electrolytic","AISHI","WK1CM100D11OT","Tayda","A-3931"
"","","C3","1uF","Device:C","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","Film","WIMA","MKS2B041001C00KSSD","Tayda","A-3290"
"","","C4","5n6","Device:C","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","Film","ARCOTRONICS","5.6nF/100V","Tayda","A-423"
"","","C5","2n2","Device:C","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","Film","WIMA","FKS2D012201A00JSSD","Tayda","A-935"
"","","C6","680p","Device:C","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","Film","WIMA","FKP2O106801G00JSSD ","Mouser"," 505-FKP2680/1000/5 "
"","","C7","680p","Device:C","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","Film","WIMA","FKP2O106801G00JSSD ","Mouser"," 505-FKP2680/1000/5 "
"","","C8","2n2","Device:C","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","Film","WIMA","FKS2D012201A00JSSD","Tayda","A-935"
"","","C9","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","Ceramic","AEC","0.1uF 50V Ceramic Disc Capacitor","Tayda","A-4008"
"","","C10","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","Ceramic","AEC","0.1uF 50V Ceramic Disc Capacitor","Tayda","A-4008"
"","","C11","5n6","Device:C","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~","Film","ARCOTRONICS","5.6nF/100V","Tayda","A-423"
"","","D1","1N5818","Diode:1N5818","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","TEC","1N5817","Tayda","A-252"
"","","D2","1N5818","Diode:1N5818","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf","","TEC","1N5817","Tayda","A-252"
